230, 25, 75
60, 180, 75
255, 225, 25
0, 130, 200
245, 130, 48
145, 30, 180
70, 240, 240
240, 50, 230
210, 245, 60
250, 190, 190
0, 128, 128
230, 190, 255
170, 110, 40
255, 250, 200
128, 0, 0
170, 255, 195
128, 128, 0
255, 215, 180
0, 0, 128
128, 128, 128
230, 190, 225
60, 180, 150
170, 255, 195
128, 225, 190
170, 110, 40
255, 245, 0
255, 225, 25
0, 130, 200
0, 255, 255
60, 60, 60
255, 250, 200
255, 215, 180
0, 0, 128
128, 128, 0
0, 128, 128
230, 25, 75
60, 180, 75
255, 225, 25
0, 0, 0
255, 255, 255
230, 25, 75
60, 180, 75
255, 225, 25
0, 130, 200
245, 130, 48
145, 30, 180
70, 240, 240
240, 50, 230
210, 245, 60
250, 190, 190
0, 128, 128
230, 190, 255
170, 110, 40
255, 250, 200
128, 0, 0
170, 255, 195
128, 128, 0
255, 215, 180
0, 0, 128
128, 128, 128
230, 190, 225
60, 180, 150
170, 255, 195
128, 225, 190
170, 110, 40
255, 245, 0
255, 225, 25
0, 130, 200
0, 255, 255
60, 60, 60
255, 250, 200
255, 215, 180
0, 0, 128
128, 128, 0
0, 128, 128
230, 25, 75
60, 180, 75
255, 225, 25
0, 0, 0
255, 255, 255
230, 25, 75
60, 180, 75
255, 225, 25
0, 130, 200
245, 130, 48
145, 30, 180
70, 240, 240
240, 50, 230
210, 245, 60
250, 190, 190
0, 128, 128
230, 190, 255
170, 110, 40
255, 250, 200
128, 0, 0
170, 255, 195
128, 128, 0
255, 215, 180
0, 0, 128
128, 128, 128
230, 190, 225
60, 180, 150
170, 255, 195
128, 225, 190
170, 110, 40
255, 245, 0
255, 225, 25
0, 130, 200
0, 255, 255
60, 60, 60
255, 250, 200
255, 215, 180
0, 0, 128
128, 128, 0
0, 128, 128
230, 25, 75
60, 180, 75
255, 225, 25
0, 0, 0
255, 255, 255
